2025-07-14 06:10:24 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2025-07-14 06:10:24 | DEBUG | httpx | load_verify_locations cafile='C:\\Users\\troubleman96\\Desktop\\APIS\\Ecommerce\\backend\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2025-07-14 06:10:25 | DEBUG | httpx | load_ssl_context verify=True cert=None trust_env=True http2=False
2025-07-14 06:10:25 | DEBUG | httpx | load_verify_locations cafile='C:\\Users\\troubleman96\\Desktop\\APIS\\Ecommerce\\backend\\venv\\Lib\\site-packages\\certifi\\cacert.pem'
2025-07-14 06:10:27 | INFO | ecommerce | Supabase clients initialized successfully
2025-07-14 06:10:35 | INFO | ecommerce | 🚀 FastAPI E-Commerce application starting up...
2025-07-14 06:25:09 | INFO | ecommerce.auth | Login attempt for itslugenge96@gmail.com
2025-07-14 06:25:10 | INFO | ecommerce | Attempting Supabase login for itslugenge96@gmail.com
2025-07-14 06:25:12 | DEBUG | httpcore.connection | connect_tcp.started host='nluxtoziartsvilflbtf.supabase.co' port=443 local_address=None timeout=5.0 socket_options=None
2025-07-14 06:25:14 | DEBUG | httpcore.connection | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001B4F5750EC0>
2025-07-14 06:25:14 | DEBUG | httpcore.connection | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001B4F242DFD0> server_hostname='nluxtoziartsvilflbtf.supabase.co' timeout=5.0
2025-07-14 06:25:14 | DEBUG | httpcore.connection | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001B4F53F07D0>
2025-07-14 06:25:14 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-07-14 06:25:14 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-07-14 06:25:14 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-07-14 06:25:14 | DEBUG | httpcore.http11 | send_request_body.complete
2025-07-14 06:25:14 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
